,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,RNR1_RNR2,Homo_sapiens,0.2594361270647667,120456.32001634374,808144.6530183216,83717.1458065752,561660.5566263299,RNR2,RNR1,99.6,False,NC_012920.1,gene,70.0,531916.2,1602,1900,299,3091.2215411708735,4368.467385836454,5309.284280936455,7503,1.5829018108673214,2.4950158018624258,0.020190588207571834,0.5950840879689522,HS_lung_cancer,gene-HS_0,2657,269,57990.38728878026,5750.868348654321
1,RNR2_ND1,Homo_sapiens,0.003943515320837032,808144.6530183216,1596.6135453038648,561660.5566263299,1109.646458988792,ND1,RNR2,99.5,False,NC_012920.1,gene,78.0,1150353.22,3230,3528,299,123.36643169366924,125.179326663313,211.88628762541805,215,-0.5365195831472659,-0.5352249483884824,0.014262544255727,0.14473684210526316,HS_lung_cancer,gene-HS_1,2924,277,61974.68585035081,6145.988601520061
2,ND1_ND2,Homo_sapiens,0.7289824489992662,1596.6135453038648,915.7255550441572,1109.646458988792,636.4292865665917,ND2,ND1,99.4,False,NC_012920.1,gene,208.0,70887.92,4263,4561,299,45.4177897658103,39.591600991187384,78.0066889632107,68,-0.5921847060195827,-0.5963453367373962,0.006062646327053977,0.11827956989247312,HS_lung_cancer,gene-HS_2gene-HS_3,40,400,1174.2125841687534,116.44588526819815
3,ND2_COX1,Homo_sapiens,0.11843119918586797,915.7255550441572,14548.536587687358,636.4292865665917,10111.233338511927,COX1,ND2,99.5,False,NC_012920.1,gene,393.0,33494.48,5512,5810,299,652.8408091435897,787.7564138393607,1121.2775919732442,1353,-0.15840836081485607,-0.062061669877843825,0.017146139806113556,0.5714285714285714,HS_lung_cancer,gene-HS_4gene-HS_5,492,400,14442.814785275665,1432.2843887988374
4,COX1_COX2,Homo_sapiens,0.6769647217288874,14548.536587687358,7444.129559051799,10111.233338511927,5173.670253363365,COX2,COX1,99.5,False,NC_012920.1,gene,141.0,510558.92000000004,7446,7744,299,201.48643211489969,165.35315708084136,346.0602006688963,284,-0.4807320887832476,-0.5065357865104209,0.011565210621242423,0.27307692307692305,HS_lung_cancer,gene-HS_6,537,340,9272.825848509123,919.5800057209178
5,COX2_ATP8,Homo_sapiens,0.15820608424131433,7444.129559051799,639.4345089567079,5173.670253363365,444.40700174819585,ATP8,COX2,99.5,False,NC_012920.1,gene,95.0,212239.02000000002,8272,8526,255,156.64483146490207,123.43263838429007,269.043137254902,212,-0.5127546250101607,-0.536472303252746,0.010445515095860268,0.6529477196885428,HS_lung_cancer,gene-HS_7,1331,255,30644.646069188453,3039.009280234741
6,ATP8_ATP6,Homo_sapiens,0.45720623103791136,639.4345089567079,2157.703699352995,444.40700174819585,1499.6041318679852,ATP6,ATP8,99.6,False,NC_012920.1,gene,1.0,59746.850000000006,8527,8825,299,210.74952703498025,204.36252864568775,361.96989966555185,351,-0.4741170753057651,-0.4786781945418683,0.010511280079199582,0.1097560975609756,HS_lung_cancer,gene-HS_8,209,200,6135.260752281736,608.4297505263354
7,ATP6_COX3,Homo_sapiens,0.19800555411845733,2157.703699352995,19636.67180651936,1499.6041318679852,13647.487459015802,COX3,ATP6,99.5,False,NC_012920.1,gene,1.0,118598.07999999999,9207,9505,299,861.0433258452786,856.4594861475975,1478.8729096989966,1471,-0.009725607813827256,-0.012999045216811007,0.0161844084250898,0.3814789219073946,HS_lung_cancer,gene-HS_9,135,200,3962.967471569543,393.0048627801688
8,COX3_ND3,Homo_sapiens,0.17813704396779784,19636.67180651936,1920.0229399237687,13647.487459015802,1334.4159973653345,ND3,COX3,99.5,False,NC_012920.1,gene,69.0,672893.5299999999,9991,10289,299,127.71660071857161,124.01486781063105,219.35785953177256,213,-0.5334130159602375,-0.5360565182979915,0.008393446006518035,0.14361702127659576,HS_lung_cancer,gene-HS_10,165,268,3614.646947534408,358.462146814416
9,ND3_ND4L,Homo_sapiens,0.7483705024405927,1920.0229399237687,1148.0142766290262,1334.4159973653345,797.8699546154319,ND4L,ND3,99.4,False,NC_012920.1,gene,66.0,93575.98,10405,10703,299,129.9812589889213,132.7483092057459,223.247491638796,228,-0.5317957654506069,-0.5298197439766738,0.009346055891145007,0.1541501976284585,HS_lung_cancer,gene-HS_11,167,265,3699.877387852487,366.9143932035678
10,ND4L_ND4,Homo_sapiens,0.8215002134875815,1148.0142766290262,1646.9071556010838,797.8699546154319,1144.6005195629496,ND4,ND4L,99.6,False,NC_012920.1,gene,1.0,66561.47,10760,11058,299,147.8122785775651,146.13958601158868,253.87290969899666,251,-0.5190621773881089,-0.5202566900173199,0.009842969464972633,0.17207792207792208,HS_lung_cancer,gene-HS_12,182,200,5342.667257967828,529.8287779703016
11,ND4_ND5,Homo_sapiens,0.8245895456716867,1646.9071556010838,1155.3601707384744,1144.6005195629496,802.975351228552,ND5,ND4,98.9,False,NC_012920.1,gene,200.0,95534.17000000001,12138,12436,299,121.33349684049222,117.02811469453917,208.39464882943145,201,-0.5379713540260752,-0.5410459377550456,0.00441672887552143,0.14625850340136054,HS_lung_cancer,gene-HS_13,101,399,1486.1587844742367,147.38138361012545
12,ND5_ND6,Homo_sapiens,0.701315092005957,1155.3601707384744,623.916948178771,802.975351228552,433.6222965701474,ND6,ND5,84.4,True,NC_012920.1,gene,1.0,59400.869999999995,14149,14447,299,97.69381377768396,98.97900247796845,167.79264214046822,170,-0.5548530575401868,-0.5539352713524356,0.007724790178538826,0.11643835616438356,HS_lung_cancer,gene-HS_14,110,200,3229.0846064640723,320.22618448754486
13,ND6_CYTB,Homo_sapiens,0.5365114507351114,623.916948178771,1701.9120618969666,433.6222965701474,1182.8289309889715,CYTB,ND6,99.2,True,NC_012920.1,gene,74.0,49982.369999999995,14674,14972,299,120.09309501915696,98.97900247796845,206.26421404682273,170,-0.53885715675577,-0.5539352713524356,0.011026721380344674,0.1866197183098592,HS_lung_cancer,gene-HS_15,114,273,2451.65264826443,243.12877143909503
