,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,RNR1_RNR2,Homo_sapiens,0.20660032628433822,95917.27310658008,832612.461881077,66028.3017381877,573160.4442400229,RNR2,RNR1,99.6,False,NC_012920.1,gene,70.0,464509.53,1602,1900,299,3317.455419634084,4710.226162052514,5311.8996655518395,7542,1.621201404043165,2.5533490719765117,0.02035930638701521,0.6255144032921811,HS_lung_cancer,gene-HS_0,2476,269,58102.892774672684,5748.4875168656645
1,RNR2_ND1,Homo_sapiens,0.004026698598055822,832612.461881077,1679.7215827614305,573160.4442400229,1156.300214868279,ND1,RNR2,99.5,False,NC_012920.1,gene,78.0,1138391.5500000003,3230,3528,299,123.50918831725288,124.28202151265585,197.76254180602007,199,-0.5164293203478302,-0.5159120818398283,0.015757446071175074,0.17098445595854922,HS_lung_cancer,gene-HS_1,2845,277,64833.86263351405,6414.425034985502
2,ND1_ND2,Homo_sapiens,0.7341975440821604,1679.7215827614305,974.2811408206722,1156.300214868279,670.6834656616185,ND2,ND1,99.4,False,NC_012920.1,gene,208.0,63865.72,4263,4561,299,41.998262324246184,32.47570411385982,67.24749163879599,52,-0.5709826055809287,-0.5773558227646549,0.008175606526514148,0.2906976744186047,HS_lung_cancer,gene-HS_2gene-HS_3,53,400,1672.8048107603158,165.50118442640098
3,ND2_COX1,Homo_sapiens,0.13889882366123885,974.2811408206722,13054.363812960259,670.6834656616185,8986.467660360191,COX1,ND2,99.5,False,NC_012920.1,gene,393.0,29617.48,5512,5810,299,629.8611429919314,763.1790466757058,1008.5317725752508,1222,-0.1775402416729618,-0.0883138031588918,0.01646454145316526,0.5297805642633229,HS_lung_cancer,gene-HS_4gene-HS_5,330,400,10415.577123601968,1030.4790728436287
4,COX1_COX2,Homo_sapiens,0.7167282107453246,13054.363812960259,7291.07496668008,8986.467660360191,5019.0886615465415,COX2,COX1,99.5,False,NC_012920.1,gene,141.0,413233.14,7446,7744,299,182.43458635919362,131.15188199828006,292.11371237458195,210,-0.47699198102559254,-0.5113142508862698,0.011588202347223754,0.3031578947368421,HS_lung_cancer,gene-HS_6,381,340,7073.680720307218,699.8440762093094
5,COX2_ATP8,Homo_sapiens,0.13141890144321366,7291.07496668008,512.7875173313453,5019.0886615465415,352.9967838463023,ATP8,COX2,99.5,False,NC_012920.1,gene,95.0,191056.98,8272,8526,255,139.25611313800596,101.17430897010176,222.9764705882353,162,-0.5058902856009488,-0.5313775132290703,0.010744387430053478,0.6845794392523364,HS_lung_cancer,gene-HS_7,1292,255,31983.186318939373,3164.299375196598
6,ATP8_ATP6,Homo_sapiens,0.41103140887248435,512.7875173313453,1982.3381896699368,352.9967838463023,1364.617861781978,ATP6,ATP8,99.6,False,NC_012920.1,gene,1.0,46502.39,8527,8825,299,181.87271573875216,184.23716756901246,291.2140468227425,295,-0.47736802740032885,-0.4757855571542272,0.011146647694091684,0.16546762589928055,HS_lung_cancer,gene-HS_8,161,200,5081.53914212096,502.74888099340683
7,ATP6_COX3,Homo_sapiens,0.17355273787049053,1982.3381896699368,20861.87866329849,1364.617861781978,14361.067350977844,COX3,ATP6,99.5,False,NC_012920.1,gene,1.0,94417.0,9207,9505,299,847.1484177254409,839.3720447889923,1356.4515050167224,1344,-0.03211514029358193,-0.0373196780376071,0.016953082971484592,0.3871449925261585,HS_lung_cancer,gene-HS_9,61,200,1925.3036501203642,190.48249528321625
8,COX3_ND3,Homo_sapiens,0.13632794620118138,20861.87866329849,1526.0501794124914,14361.067350977844,1050.514661753358,ND3,COX3,99.5,False,NC_012920.1,gene,69.0,693935.3499999999,9991,10289,299,113.0759401793104,98.6761778844202,181.05685618729098,158,-0.523412040205849,-0.5330494517576371,0.00932976197361188,0.1390728476821192,HS_lung_cancer,gene-HS_10,205,268,4828.5692228367325,477.7209632133512
9,ND3_ND4L,Homo_sapiens,0.9228334091518093,1526.0501794124914,1307.4023104402386,1050.514661753358,900.0000881074852,ND4L,ND3,99.4,False,NC_012920.1,gene,66.0,80659.55,10405,10703,299,132.74976684823505,133.0254803125412,212.55852842809364,213,-0.510244825322429,-0.5100602969898448,0.010978365019855985,0.16666666666666666,HS_lung_cancer,gene-HS_11,130,265,3096.6838789439807,306.3745671118851
