,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,RNR1_RNR2,Homo_sapiens,0.17463559014723584,80836.47013039012,844936.6791141214,55367.27118841611,578721.9329850954,RNR2,RNR1,99.6,False,NC_012920.1,gene,70.0,420065.98000000004,1602,1900,299,3650.3103599447863,5111.181149383341,5281.371237458194,7395,1.668924271762932,2.5774485200102912,0.021085175961978005,0.5795724465558195,HS_lung_cancer,gene-HS_0,2358,269,60593.38195518469,6058.6325786517655
1,RNR2_ND1,Homo_sapiens,0.0045618879445622484,844936.6791141214,1931.659231665497,578721.9329850954,1323.050107837693,ND1,RNR2,99.5,False,NC_012920.1,gene,78.0,1114556.6099999999,3230,3528,299,141.48122420599984,143.0716021531239,204.69899665551839,207,-0.5132374743834718,-0.5122484088622181,0.015022818050633071,0.15873015873015872,HS_lung_cancer,gene-HS_1,2669,277,66604.33197981272,6659.6575829136855
2,ND1_ND2,Homo_sapiens,0.7079878906472326,1931.659231665497,1058.4973120423792,1323.050107837693,724.9958791313827,ND2,ND1,99.4,False,NC_012920.1,gene,208.0,67587.08,4263,4561,299,55.5661411235001,43.5435310900812,80.39464882943143,63,-0.5666685764596767,-0.5741455092736873,0.00676290914920475,0.12844036697247707,HS_lung_cancer,gene-HS_2gene-HS_3,58,400,2004.618204547904,200.4384764464055
3,ND2_COX1,Homo_sapiens,0.1458333549651175,1058.4973120423792,13458.035099840572,724.9958791313827,9217.803274118542,COX1,ND2,99.5,False,NC_012920.1,gene,393.0,35319.590000000004,5512,5810,299,627.6676220677256,746.4605329728205,908.1270903010034,1080,-0.21087525671247864,-0.13699723761768548,0.015048885019883683,0.5116279069767442,HS_lung_cancer,gene-HS_4gene-HS_5,328,400,11336.46157054677,1133.5141426624311
4,COX1_COX2,Homo_sapiens,0.7494575840748017,13458.035099840572,8065.481301454479,9217.803274118542,5524.2848897585145,COX2,COX1,99.5,False,NC_012920.1,gene,141.0,386271.6,7446,7744,299,221.27288987290132,151.3656080750442,320.1438127090301,219,-0.4636145620831398,-0.5070903171612623,0.010299250911673243,0.25646123260437376,HS_lung_cancer,gene-HS_6,321,340,6526.191112169139,652.5431129746061
5,COX2_ATP8,Homo_sapiens,0.11828351229002199,8065.481301454479,506.99107058712923,5524.2848897585145,347.2530659741159,ATP8,COX2,99.5,False,NC_012920.1,gene,95.0,191230.95,8272,8526,255,165.1239002514059,118.18958438736324,238.90588235294118,171,-0.4985339532808532,-0.5277226839650854,0.009186745084016568,0.6242840778923253,HS_lung_cancer,gene-HS_7,1250,255,33884.68905591454,3388.074314509897
6,ATP8_ATP6,Homo_sapiens,0.4141827049597362,506.99107058712923,1941.1607451021093,347.2530659741159,1329.5579732887295,ATP6,ATP8,99.6,False,NC_012920.1,gene,1.0,49939.409999999996,8527,8825,299,200.95396232170884,211.49715100896583,290.74581939799333,306,-0.4762510241933402,-0.4696941523293329,0.009958089521177408,0.1188118811881188,HS_lung_cancer,gene-HS_8,147,200,5080.670277043826,508.00786271761393
7,ATP6_COX3,Homo_sapiens,0.167151433056139,1941.1607451021093,21285.21200696584,1329.5579732887295,14578.866489242646,COX3,ATP6,99.5,False,NC_012920.1,gene,1.0,96453.93000000001,9207,9505,299,958.5517641161049,986.9867047085072,1386.8595317725753,1428,-0.005096437268077544,0.012587421710031984,0.016506371191235145,0.3603053435114504,HS_lung_cancer,gene-HS_9,77,200,2661.303478451528,266.0993566616073
8,COX3_ND3,Homo_sapiens,0.14181658166206346,21285.21200696584,1624.487645832187,14578.866489242646,1112.6592722807243,ND3,COX3,99.5,False,NC_012920.1,gene,69.0,596227.9099999999,9991,10289,299,142.26947839200176,127.17475746944349,205.83946488294313,184,-0.5127472544085475,-0.52213475128905,0.00775435655767826,0.11585365853658534,HS_lung_cancer,gene-HS_10,179,268,4616.915319275279,461.6377674203112
9,ND3_ND4L,Homo_sapiens,0.9085528985244294,1624.487645832187,1352.2716375741784,1112.6592722807243,926.2105378575341,ND4L,ND3,99.4,False,NC_012920.1,gene,66.0,82288.42000000001,10405,10703,299,154.95320483948672,171.40945571968473,224.19063545150502,248,-0.5048591693575045,-0.4946249288839525,0.00871125877781413,0.13191489361702127,HS_lung_cancer,gene-HS_11,122,265,3182.3477027305703,318.1977114698955
10,ND4L_ND4,Homo_sapiens,0.7779121316330517,1352.2716375741784,2124.3977254177266,926.2105378575341,1455.062359669242,ND4,ND4L,99.6,False,NC_012920.1,gene,1.0,68628.03,10760,11058,299,200.30671548276294,199.05614212608552,289.809364548495,288,-0.4766535508589672,-0.4774312898807666,0.01001770740711958,0.1761194029850746,HS_lung_cancer,gene-HS_12,180,200,6221.228910665909,622.0504441440171
11,ND4_ND5,Homo_sapiens,0.820206062842299,2124.3977254177266,1476.9052793014137,1455.062359669242,1011.5757774527432,ND5,ND4,98.9,False,NC_012920.1,gene,200.0,101058.12,12138,12436,299,152.89588452998032,148.6009394344041,221.2140468227425,215,-0.5061386291161025,-0.5088096810615809,0.0044592715044914485,0.1282798833819242,HS_lung_cancer,gene-HS_13,114,399,1974.9933049733047,197.4763314742912
12,ND5_ND6,Homo_sapiens,0.8127459056234042,1476.9052793014137,1011.0293360378715,1011.5757774527432,692.4836690365142,ND6,ND5,84.4,True,NC_012920.1,gene,1.0,66392.7,14149,14447,299,135.48956775404417,138.92459919216378,196.03010033444815,201,-0.5169637212309849,-0.5148274547126961,0.008003172048354113,0.08465608465608465,HS_lung_cancer,gene-HS_14,140,200,4838.733597184596,483.81701211201334
13,ND6_CYTB,Homo_sapiens,0.7393979638916317,1011.0293360378715,1723.7072616032085,692.4836690365142,1180.6176995196115,CYTB,ND6,99.2,True,NC_012920.1,gene,74.0,57693.17999999999,14674,14972,299,132.28569590126216,116.80725006704321,191.39464882943145,169,-0.5189562282258351,-0.5285823659152448,0.009780862940366753,0.17921146953405018,HS_lung_cancer,gene-HS_15,102,273,2582.683552657398,258.2382796202269
