,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,RNR1_RNR2,Homo_sapiens,0.27040724198704225,125301.11214915733,801457.4408274798,87367.60770666703,558825.2018102737,RNR2,RNR1,99.6,False,NC_012920.1,gene,70.0,550427.73,1602,1900,299,3213.122774128364,4548.875475667293,5315.324414715719,7525,1.5980021163332243,2.5199192480694808,0.022232675875254307,0.5667215815485996,HS_lung_cancer,gene-HS_0,3045,269,67165.07425911736,6842.779742077541
1,RNR2_ND1,Homo_sapiens,0.004324365574994271,801457.4408274798,1736.6524434898895,558825.2018102737,1210.9004206206466,ND1,RNR2,99.5,False,NC_012920.1,gene,78.0,1169513.98,3230,3528,299,150.98593068736733,150.52092936095102,249.76923076923077,249,-0.5154402988957335,-0.5157612360636759,0.01541689984625635,0.15819209039548024,HS_lung_cancer,gene-HS_1,3215,277,68866.76625216668,7016.148172407426
2,ND1_ND2,Homo_sapiens,0.7690334584186445,1736.6524434898895,1084.9554310164426,1210.9004206206466,756.4973594442264,ND2,ND1,99.4,False,NC_012920.1,gene,208.0,76944.37,4263,4561,299,51.79306078318417,48.3601379472935,85.67892976588628,80,-0.5839017783338023,-0.5862711318606114,0.008682877421737806,0.21568627450980396,HS_lung_cancer,gene-HS_2gene-HS_3,39,400,1157.0259344045983,117.87783624652789
3,ND2_COX1,Homo_sapiens,0.1411350504523019,1084.9554310164426,14289.75733579005,756.4973594442264,9963.693791086343,COX1,ND2,99.5,False,NC_012920.1,gene,393.0,35848.46,5512,5810,299,652.2735345233009,814.8683244118954,1079.0267558528428,1348,-0.16945886882194533,-0.057238304224431824,0.017511714957428235,0.582901554404145,HS_lung_cancer,gene-HS_4gene-HS_5,548,400,16257.697744967176,1656.334724694802
4,COX1_COX2,Homo_sapiens,0.6810169114227844,14289.75733579005,7378.082774585257,9963.693791086343,5144.451078055471,COX2,COX1,99.5,False,NC_012920.1,gene,141.0,496849.85,7446,7744,299,206.12497927585127,177.11900523196243,340.98327759197326,293,-0.4773841276727253,-0.497403630057373,0.01177294781162218,0.2300380228136882,HS_lung_cancer,gene-HS_6,534,340,9319.032412851517,949.4232964652472
5,COX2_ATP8,Homo_sapiens,0.15307044468509223,7378.082774585257,611.4832089719979,5144.451078055471,426.3635350425634,ATP8,COX2,99.5,False,NC_012920.1,gene,95.0,212326.41000000003,8272,8526,255,157.57344947826448,117.87783624652788,260.6666666666667,195,-0.5108936890165501,-0.5382910252532292,0.010595496689996875,0.6443243243243243,HS_lung_cancer,gene-HS_7,1373,255,31947.644201860498,3254.826931452645
6,ATP8_ATP6,Homo_sapiens,0.4286037594325288,611.4832089719979,2241.88984487896,426.3635350425634,1563.1828730760615,ATP6,ATP8,99.6,False,NC_012920.1,gene,1.0,56665.100000000006,8527,8825,299,196.15575518646557,197.67206385956214,324.4916387959866,327,-0.4842647414776111,-0.4832182072343209,0.01047110919763237,0.13548387096774195,HS_lung_cancer,gene-HS_8,200,200,5933.466330279992,604.5017243411686
7,ATP6_COX3,Homo_sapiens,0.20638421103024152,2241.88984487896,19483.510888905414,1563.1828730760615,13585.09678720287,COX3,ATP6,99.5,False,NC_012920.1,gene,1.0,120992.29000000001,9207,9505,299,831.3657627751866,853.5564347697302,1375.2909698996655,1412,-0.04585201165743348,-0.0305363318516278,0.01660662412269759,0.3886010362694301,HS_lung_cancer,gene-HS_9,132,200,3916.087777984794,398.97113806517126
8,COX3_ND3,Homo_sapiens,0.1649609658965202,19483.510888905414,1751.47161207905,13585.09678720287,1221.2332523539794,ND3,COX3,99.5,False,NC_012920.1,gene,69.0,637879.63,9991,10289,299,127.72575564206578,123.92285348993957,211.29096989966555,205,-0.5314941341878066,-0.5341188420699786,0.008914173794771956,0.1310344827586207,HS_lung_cancer,gene-HS_10,174,268,3852.325154734024,392.4750001319528
9,ND3_ND4L,Homo_sapiens,0.9218257028675595,1751.47161207905,1497.4865883479874,1221.2332523539794,1044.139342043837,ND4L,ND3,99.4,False,NC_012920.1,gene,66.0,85996.44,10405,10703,299,148.31318393292239,168.65598109118602,245.34782608695653,279,-0.5172849899219062,-0.503244686513924,0.010474740001175167,0.13227513227513227,HS_lung_cancer,gene-HS_11,150,265,3358.565847328297,342.17078736292564
