,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,RNR1_RNR2,Homo_sapiens,0.25916794601989857,120347.22839761696,808372.7791945016,83621.24666015165,561684.2237449836,RNR2,RNR1,99.6,False,NC_012920.1,gene,70.0,526471.62,1602,1900,299,3084.0812850584653,4381.817695448841,5303.4046822742475,7535,1.5799855222007195,2.5083621717308398,0.020658359251113232,0.6090686274509803,HS_lung_cancer,gene-HS_0,2654,269,57730.801993797926,5737.460211070135
1,RNR2_ND1,Homo_sapiens,0.003975287775671799,808372.7791945016,1609.9572353173135,561684.2237449836,1118.65169542559,ND1,RNR2,99.5,False,NC_012920.1,gene,78.0,1156576.16,3230,3528,299,117.34234975666064,116.8872404492657,201.7826086956522,201,-0.5423646952502434,-0.5426902720396332,0.015543899284083259,0.2108843537414966,HS_lung_cancer,gene-HS_1,3090,277,65273.61454988557,6487.08754042479
2,ND1_ND2,Homo_sapiens,0.7693174220787602,1609.9572353173135,1006.4074783795537,1118.65169542559,699.2853022933792,ND2,ND1,99.4,False,NC_012920.1,gene,208.0,68028.62999999999,4263,4561,299,50.65716675388235,45.359227637028475,87.11036789297658,78,-0.5900700430186696,-0.5938600907720805,0.006597655379082421,0.17307692307692307,HS_lung_cancer,gene-HS_2gene-HS_3,31,400,906.965255889753,90.13692671460788
3,ND2_COX1,Homo_sapiens,0.1298208729884367,1006.4074783795537,14498.1482253738,699.2853022933792,10073.79434500902,COX1,ND2,99.5,False,NC_012920.1,gene,393.0,35800.2,5512,5810,299,674.9465519823888,829.8412543338416,1160.6421404682274,1427,-0.14346495191136607,-0.032656143860931366,0.017388377536531406,0.5295566502463054,HS_lung_cancer,gene-HS_4gene-HS_5,478,400,13984.819106945222,1389.8532570833086
4,COX1_COX2,Homo_sapiens,0.6876040808305088,14498.1482253738,7596.020178545806,10073.79434500902,5277.9668085671165,COX2,COX1,99.5,False,NC_012920.1,gene,141.0,511728.11000000004,7446,7744,299,201.86626168006424,166.31716800243774,347.1304347826087,286,-0.48189785042077327,-0.507329015192007,0.011756138332387906,0.3098859315589353,HS_lung_cancer,gene-HS_6,549,340,9448.271830805965,938.9975856986664
5,COX2_ATP8,Homo_sapiens,0.14787526591604838,7596.020178545806,606.4729243852407,5277.9668085671165,421.3975068471617,ATP8,COX2,99.5,False,NC_012920.1,gene,95.0,214642.74000000002,8272,8526,255,152.90096206032413,113.97959765202029,262.9294117647059,196,-0.5169267210298197,-0.5447703459718465,0.010123784337116347,0.6666666666666666,HS_lung_cancer,gene-HS_7,1359,255,31184.460031731167,3099.205146240408
6,ATP8_ATP6,Homo_sapiens,0.45097844442237023,606.4729243852407,2083.114269353181,421.3975068471617,1447.4168990693036,ATP6,ATP8,99.6,False,NC_012920.1,gene,1.0,57739.85,8527,8825,299,201.32752117515662,200.6273530099337,346.2040133779264,345,-0.482283255423598,-0.4827841427918901,0.010929384507233445,0.11988304093567252,HS_lung_cancer,gene-HS_8,204,200,5968.4165226293435,593.1591306380648
7,ATP6_COX3,Homo_sapiens,0.1931054265563118,2083.114269353181,19491.776778524432,1447.4168990693036,13543.533121148992,COX3,ATP6,99.5,False,NC_012920.1,gene,1.0,114760.62,9207,9505,299,874.2747040635196,895.553981551588,1503.408026755853,1540,-0.0008692749275901342,0.014353527007089282,0.017013684940797996,0.3928067700987306,HS_lung_cancer,gene-HS_9,100,200,2925.694373837913,290.76427972454155
8,COX3_ND3,Homo_sapiens,0.1916478106237881,19491.776778524432,2065.723904180619,13543.533121148992,1435.3334964436908,ND3,COX3,99.5,False,NC_012920.1,gene,69.0,652661.8500000001,9991,10289,299,134.14638572201196,133.17004011384006,230.6789297658863,229,-0.5303433984112311,-0.5310418580192388,0.008633419553837117,0.15346534653465346,HS_lung_cancer,gene-HS_10,138,268,3013.028534250985,299.44381046258763
9,ND3_ND4L,Homo_sapiens,0.6744674624244832,2065.723904180619,1051.0972158183802,1435.3334964436908,730.3372143922827,ND4L,ND3,99.4,False,NC_012920.1,gene,66.0,94505.01,10405,10703,299,122.62472958095397,129.09934019769645,210.86622073578596,222,-0.538585778327239,-0.5339539615243374,0.009322902354944457,0.1652542372881356,HS_lung_cancer,gene-HS_11,167,265,3687.47894664854,366.4727148226297
