,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,RNR1_RNR2,Homo_sapiens,0.27036615817474197,125229.01839689814,801137.0567237956,87347.74717775894,558796.3395485444,RNR2,RNR1,99.6,False,NC_012920.1,gene,70.0,546767.59,1602,1900,299,3213.7144371204354,4554.550766408221,5307.561872909699,7522,1.5990262419822905,2.526461870247191,0.021836215544236395,0.5927051671732523,HS_lung_cancer,gene-HS_0,3025,269,67018.10874857222,6809.03108916935
1,RNR2_ND1,Homo_sapiens,0.00448742197812213,801137.0567237956,1801.562202827169,558796.3395485444,1256.5969280283982,ND1,RNR2,99.5,False,NC_012920.1,gene,78.0,1164973.8900000001,3230,3528,299,145.02166845026792,147.13584634900258,239.50836120401337,243,-0.523540803449197,-0.5220784594889772,0.013925490712688953,0.16279069767441862,HS_lung_cancer,gene-HS_1,3240,277,69708.27086064457,7082.351208134903
2,ND1_ND2,Homo_sapiens,0.763053785160915,1801.562202827169,1111.3570190672692,1256.5969280283982,775.1760188525133,ND2,ND1,99.4,False,NC_012920.1,gene,208.0,77546.6,4263,4561,299,61.618970404881075,53.2837632868816,101.76588628762542,88,-0.5812291521097657,-0.5869944851943084,0.006232012431755014,0.1984126984126984,HS_lung_cancer,gene-HS_2gene-HS_3,42,400,1251.5216407295356,127.15443511642201
3,ND2_COX1,Homo_sapiens,0.14385912767446174,1111.3570190672692,14339.272176768733,775.1760188525133,10001.70037937862,COX1,ND2,99.5,False,NC_012920.1,gene,393.0,39737.26,5512,5810,299,665.1175318374383,828.9258174970558,1098.4648829431437,1369,-0.16379858638481373,-0.050494943719925765,0.017070172877809913,0.5760368663594471,HS_lung_cancer,gene-HS_4gene-HS_5,493,400,14690.480211420503,1492.550869342763
4,COX1_COX2,Homo_sapiens,0.6740048565580087,14339.272176768733,7288.668540339991,10001.70037937862,5083.875806694594,COX2,COX1,99.5,False,NC_012920.1,gene,141.0,496990.31000000006,7446,7744,299,211.9827856912238,173.17223068236518,350.09698996655516,286,-0.47722484043328317,-0.5040694975191111,0.011235882970455179,0.266173752310536,HS_lung_cancer,gene-HS_6,572,340,10026.195777273033,1018.660180484501
5,COX2_ATP8,Homo_sapiens,0.14018092857897135,7288.668540339991,549.3718930995385,5083.875806694594,383.1891189383778,ATP8,COX2,99.5,False,NC_012920.1,gene,95.0,213094.97,8272,8526,255,153.44251637083673,115.6499862249362,253.4156862745098,191,-0.5177162339539146,-0.5438567390804432,0.009482756427573909,0.6282894736842105,HS_lung_cancer,gene-HS_7,1348,255,31504.223561221548,3200.8249960212293
6,ATP8_ATP6,Homo_sapiens,0.38931947317430815,549.3718930995385,2272.844466232536,383.1891189383778,1585.31821419887,ATP6,ATP8,99.6,False,NC_012920.1,gene,1.0,54178.14,8527,8825,299,199.5002257603809,207.08008004674443,329.4816053511706,342,-0.4858588329340421,-0.4806159656513786,0.010680700163554449,0.10818713450292396,HS_lung_cancer,gene-HS_8,175,200,5214.673503039732,529.8101463184249
7,ATP6_COX3,Homo_sapiens,0.2119363859718012,2272.844466232536,19175.520389200483,1585.31821419887,13375.003081548808,COX3,ATP6,99.5,False,NC_012920.1,gene,1.0,115962.69,9207,9505,299,854.4458078034289,873.7326184428425,1411.1471571906354,1443,-0.032843163464481066,-0.019502776608993425,0.016353096895465557,0.3893129770992366,HS_lung_cancer,gene-HS_9,106,200,3158.6022361269233,320.91357434144595
8,COX3_ND3,Homo_sapiens,0.1678075008240547,19175.520389200483,1756.2544082893514,13375.003081548808,1224.9945579616765,ND3,COX3,99.5,False,NC_012920.1,gene,69.0,606355.63,9991,10289,299,133.810855378051,138.05338669782958,220.9933110367893,228,-0.5312951484336549,-0.528360655524977,0.00849638974686889,0.13157894736842105,HS_lung_cancer,gene-HS_10,191,268,4247.346008872447,431.5297993467768
9,ND3_ND4L,Homo_sapiens,0.8819695405265875,1756.2544082893514,1385.4389032086906,1224.9945579616765,966.3492423470262,ND4L,ND3,99.4,False,NC_012920.1,gene,66.0,87584.43,10405,10703,299,149.43835618699225,168.3282522017396,246.80267558528428,278,-0.5204858492564397,-0.5074200020716443,0.009290874464436043,0.16428571428571428,HS_lung_cancer,gene-HS_11,134,265,3013.5471672553062,306.17599830369363
