,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,RNR1_RNR2,Homo_sapiens,0.26035605740986334,120862.23027387171,807575.7824711541,84014.87545183649,561369.5745022257,RNR2,RNR1,99.6,False,NC_012920.1,gene,70.0,526256.07,1602,1900,299,3098.1666604547618,4402.939882689393,5310.511705685619,7547,1.58350164960759,2.5120027116658745,0.020466912992723515,0.6266506602641057,HS_lung_cancer,gene-HS_0,2725,269,59343.54421906169,5909.934019588075
1,RNR2_ND1,Homo_sapiens,0.004087746783768997,807575.7824711541,1653.9631449862757,561369.5745022257,1149.7182148060185,ND1,RNR2,99.5,False,NC_012920.1,gene,78.0,1147895.8,3230,3528,299,125.37303673443827,129.51539074560026,214.89966555183946,222,-0.5319939705255866,-0.5290461938290371,0.01503533746144334,0.14102564102564102,HS_lung_cancer,gene-HS_1,3036,277,64206.83346073616,6394.261656480996
2,ND1_ND2,Homo_sapiens,0.7005262426276386,1653.9631449862757,891.6259992388755,1149.7182148060185,619.7953414059048,ND2,ND1,99.4,False,NC_012920.1,gene,208.0,67356.68,4263,4561,299,46.617579856185486,43.17179691520009,79.90635451505017,74,-0.5880378286522159,-0.5904899123291389,0.00605817465605086,0.15053763440860216,HS_lung_cancer,gene-HS_2gene-HS_3,36,400,1054.4640040686118,105.01247898291913
3,ND2_COX1,Homo_sapiens,0.11593623525398977,891.6259992388755,14489.691106418835,619.7953414059048,10072.208587272205,COX1,ND2,99.5,False,NC_012920.1,gene,393.0,32099.149999999994,5512,5810,299,653.0695239312142,810.9296988125423,1119.4147157190635,1390,-0.1564752670013938,-0.04413900999039443,0.017243216339104996,0.5714285714285714,HS_lung_cancer,gene-HS_4gene-HS_5,498,400,14586.752056282461,1452.6726259303812
4,COX1_COX2,Homo_sapiens,0.6790096319874783,14489.691106418835,7447.926997820797,10072.208587272205,5177.272152585439,COX2,COX1,99.5,False,NC_012920.1,gene,141.0,508958.63,7446,7744,299,200.77636728618316,154.60170516929762,344.1471571906354,265,-0.47833554827492164,-0.5111943026431965,0.011078028539293985,0.31411530815109345,HS_lung_cancer,gene-HS_6,592,340,10200.043960925132,1015.806986240002
5,COX2_ATP8,Homo_sapiens,0.16758324692540916,7447.926997820797,681.1484271053357,5177.272152585439,473.4862176363504,ATP8,COX2,99.5,False,NC_012920.1,gene,95.0,207730.14,8272,8526,255,156.45486656311388,124.84816945747052,268.1764705882353,214,-0.5098755582874711,-0.5323674759101236,0.010734181775920703,0.6613636363636364,HS_lung_cancer,gene-HS_7,1300,255,29864.9935792853,2974.2096443964024
6,ATP8_ATP6,Homo_sapiens,0.4920075860200487,681.1484271053357,2087.704925808535,473.4862176363504,1451.2248278435711,ATP6,ATP8,99.6,False,NC_012920.1,gene,1.0,60222.70999999999,8527,8825,299,202.5168193718906,198.35690474551396,347.1304347826087,340,-0.4770970099737808,-0.4800572831330098,0.010516205829411152,0.10914454277286137,HS_lung_cancer,gene-HS_8,209,200,6121.749356953886,609.6557807619471
7,ATP6_COX3,Homo_sapiens,0.19035568427205252,2087.704925808535,19847.073999152057,1451.2248278435711,13796.282315357998,COX3,ATP6,99.5,False,NC_012920.1,gene,1.0,117153.81,9207,9505,299,870.1518980338271,884.4384341005856,1491.5117056856188,1516,-0.0019953838511216873,0.00817118278671941,0.016517252669729754,0.366467859509609,HS_lung_cancer,gene-HS_9,109,200,3192.6826789855186,317.95445025383844
8,COX3_ND3,Homo_sapiens,0.18298517913408796,19847.073999152057,1998.7290963821727,13796.282315357998,1389.3751233449802,ND3,COX3,99.5,False,NC_012920.1,gene,69.0,670936.83,9991,10289,299,127.32031384378342,133.5992093727138,218.23745819397993,229,-0.5306082516639962,-0.5261400720080862,0.008999928888016493,0.12615384615384614,HS_lung_cancer,gene-HS_10,158,268,3453.675635216431,343.94634492747144
9,ND3_ND4L,Homo_sapiens,0.697777375738968,1998.7290963821727,1070.9904110889634,1389.3751233449802,744.4767963809642,ND4L,ND3,99.4,False,NC_012920.1,gene,66.0,94838.7,10405,10703,299,122.7604074264091,134.18261203373,210.42140468227424,230,-0.5338531664731516,-0.5257249117479504,0.009454985170458587,0.11715481171548114,HS_lung_cancer,gene-HS_11,179,265,3957.003285708208,394.0719861203883
10,ND4L_ND4,Homo_sapiens,0.779551952641348,1070.9904110889634,1676.7171854609198,744.4767963809642,1165.5352146427044,ND4,ND4L,99.6,False,NC_012920.1,gene,1.0,67176.0,10760,11058,299,152.87491133986845,149.93448388116792,262.04013377926424,257,-0.5124231214733647,-0.5145155847242832,0.010092719020111404,0.13680781758957655,HS_lung_cancer,gene-HS_12,203,200,5946.005356275782,592.1537009314605
11,ND4_ND5,Homo_sapiens,0.8263826265227989,1676.7171854609198,1180.6317654891354,1165.5352146427044,820.6917124339614,ND5,ND4,98.9,False,NC_012920.1,gene,200.0,94464.64,12138,12436,299,109.99188898597392,103.2622709998705,188.5351170568562,177,-0.542939483337127,-0.5477284055351491,0.005152125234895983,0.14035087719298245,HS_lung_cancer,gene-HS_13,102,399,1497.5679255778114,149.14052988384503
